datetime,open,high,low,close,volume,ma5,ma20,signal,signal_change,position,equity,equity_curve,market_return,market_curve
2021-07-27,37241.33,39542.61,36383.0,39457.87,88397.267015,35993.744,33234.168,1,0.0,1,408525.1491545001,4.085251491545001,0.05962441188476175,5.479612823486105
2021-07-28,39456.61,40900.0,38772.0,40019.56,101344.528441,37270.838,33591.360499999995,1,0.0,1,414340.5794103297,4.143405794103297,0.014235182993912021,5.557616114764216
2021-07-29,40019.57,40640.0,39200.0,40016.48,53998.439283,38422.505999999994,33901.39399999999,1,0.0,1,414308.69077925576,4.143086907792558,-7.696236540322143e-05,5.557188387482021
2021-07-30,40018.49,42316.71,38313.23,42206.37,73602.784805,39787.576,34336.568999999996,1,0.0,1,436981.61100738635,4.369816110073864,0.054724703422190046,5.861303873848213
2021-07-31,42206.36,42448.0,41000.15,41461.83,44849.791012,40632.422000000006,34696.710999999996,1,0.0,1,429273.05211782915,4.292730521178291,-0.01764046517148954,5.7579077470020765
2021-08-01,41461.84,42599.0,39422.01,39845.44,53953.186326,40709.936,35034.65149999999,1,0.0,1,412537.836409484,4.12537836409484,-0.03898501344489613,5.533435636070729
2021-08-02,39850.27,40480.01,38690.0,39147.82,50837.351954,40535.588,35355.554000000004,1,0.0,1,405315.0614712229,4.053150614712229,-0.017508151497385938,5.436555406653369
2021-08-03,39146.86,39780.0,37642.03,38207.05,57117.435853,40173.702000000005,35624.9055,1,0.0,1,395574.8447648959,3.955748447648959,-0.0240312231945482,5.305908330266554
2021-08-04,38207.04,39969.66,37508.56,39723.18,52329.35243,39677.064,36017.0645,1,0.0,1,411272.0234110725,4.112720234110725,0.0396819435156599,5.516457084927461
2021-08-05,39723.17,41350.0,37332.7,40862.46,84343.755621,39557.19,36490.994,1,0.0,1,423067.5038039254,4.230675038039254,0.028680483284570846,5.6746717401417754
2021-08-06,40862.46,43392.43,39853.86,42836.87,75753.941347,40155.476,37056.833999999995,1,0.0,1,443509.4622710737,4.4350946227107375,0.04831843212572129,5.948862981453565
2021-08-07,42836.87,44700.0,42446.41,44572.54,73396.740808,41240.42,37696.533,1,0.0,1,461479.6376919211,4.614796376919211,0.040518133094224584,6.189899803495406
2021-08-08,44572.54,45310.0,43261.0,43794.37,69329.092698,42357.884,38344.269,1,0.0,1,453422.89222346176,4.534228922234617,-0.017458506964153186,6.081833394668671
2021-08-09,43794.36,46454.15,42779.0,46253.4,74587.884845,43663.928,39167.421500000004,1,0.0,1,478882.34042797436,4.788823404279744,0.056149454827184364,6.42332502412908
2021-08-10,46248.87,46700.0,44589.46,45584.99,53814.643421,44608.434,39839.4455,1,0.0,1,471961.9898123339,4.719619898123339,-0.014451045760960346,6.330501260267869
2021-08-11,45585.0,46743.47,45341.14,45511.0,52734.901977,45143.26,40500.604,1,0.0,1,471195.9379249426,4.711959379249426,-0.0016231219969555788,6.3202260844205735
2021-08-12,45510.67,46218.12,43770.0,44399.0,55266.108781,45108.552,41038.8495,1,0.0,1,459682.8996930308,4.596828996930308,-0.024433653402474165,6.165799870848565
2021-08-13,44400.06,47886.0,44217.39,47800.0,48239.370431,45909.678,41715.9425,1,0.0,1,494894.9887458473,4.948949887458473,0.07660082434289062,6.638105223688854
2021-08-14,47799.99,48144.0,45971.03,47068.51,46114.359022,46072.7,42300.317,1,0.0,1,487321.54240028874,4.873215424002887,-0.015303138075313805,6.536521382892281
2021-08-15,47068.5,47372.27,45500.0,46973.82,42110.711334,46350.466,42787.128,1,0.0,1,486341.1740637961,4.863411740637961,-0.002011748406737346,6.5233715464146425
2021-08-16,46973.82,48053.83,45660.0,45901.29,52480.574014,46428.524,43109.299,1,0.0,1,475236.7865684074,4.752367865684074,-0.022832505425362415,6.374426630189475
